summary_name,excluded_summary_name,text_length,mbits
summary_gpt4o_13_1,summary_gpt4o_69_1,780,203.78412704919
summary_gpt4o_13_1,summary_gpt4o_18_1,780,153.48379658808
summary_gpt4o_13_1,summary_gpt4o_75_1,780,227.03289125039896
summary_gpt4o_13_1,summary_gpt4o_186_1,780,175.68592180197297
summary_gpt4o_13_1,summary_gpt4o_8_1,780,128.73098634523998
summary_gpt4o_13_1,summary_gpt4o_83_1,780,224.70798452578398
summary_gpt4o_13_1,summary_gpt4o_54_1,780,206.96984807707994
summary_gpt4o_13_1,summary_gpt4o_170_1,780,173.019614857929
summary_gpt4o_13_1,summary_gpt4o_62_1,780,173.66774098042998
summary_gpt4o_13_1,summary_gpt4o_140_1,780,178.46574894071
summary_gpt4o_13_1,summary_gpt4o_23_1,780,139.86665886701
summary_gpt4o_13_1,summary_gpt4o_66_1,780,175.05827221727498
summary_gpt4o_13_1,summary_gpt4o_42_1,780,170.49432054177998
summary_gpt4o_13_1,summary_gpt4o_33_1,780,164.91516256797
summary_gpt4o_170_1,summary_gpt4o_100_1,4868,603.6115897710299
summary_gpt4o_170_1,summary_gpt4o_28_1,4868,235.414732527795
summary_gpt4o_170_1,summary_gpt4o_180_1,4868,491.29696918925316
summary_gpt4o_170_1,summary_gpt4o_73_1,4868,487.283627687881
summary_gpt4o_170_1,summary_gpt4o_38_1,4868,306.41426967473006
summary_gpt4o_170_1,summary_gpt4o_49_1,4868,422.2653045289365
summary_gpt4o_170_1,summary_gpt4o_3_1,4868,-0.3547168307300268
summary_gpt4o_170_1,summary_gpt4o_69_1,4868,425.04524705733456
summary_gpt4o_170_1,summary_gpt4o_18_1,4868,153.37588257958
summary_gpt4o_170_1,summary_gpt4o_75_1,4868,482.54538933735773
summary_gpt4o_170_1,summary_gpt4o_186_1,4868,485.99863544629295
summary_gpt4o_170_1,summary_gpt4o_8_1,4868,88.55385159372398
summary_gpt4o_170_1,summary_gpt4o_83_1,4868,586.5092260196143
summary_gpt4o_170_1,summary_gpt4o_54_1,4868,461.13695972880004
summary_gpt4o_170_1,summary_gpt4o_13_1,4868,126.88706737174599
summary_gpt4o_170_1,summary_gpt4o_62_1,4868,360.443004406911
summary_gpt4o_170_1,summary_gpt4o_140_1,4868,434.75910058161503
summary_gpt4o_170_1,summary_gpt4o_23_1,4868,216.07574277844998
summary_gpt4o_170_1,summary_gpt4o_66_1,4868,463.23341529111997
summary_gpt4o_170_1,summary_gpt4o_42_1,4868,364.55865520767003
summary_gpt4o_170_1,summary_gpt4o_33_1,4868,314.45119012786
summary_gpt4o_62_1,summary_gpt4o_100_1,1858,529.968127631291
summary_gpt4o_62_1,summary_gpt4o_28_1,1858,276.58796017546
summary_gpt4o_62_1,summary_gpt4o_180_1,1858,458.55649147827194
summary_gpt4o_62_1,summary_gpt4o_73_1,1858,401.753373035742
summary_gpt4o_62_1,summary_gpt4o_38_1,1858,301.151944403245
summary_gpt4o_62_1,summary_gpt4o_49_1,1858,382.14962942837997
summary_gpt4o_62_1,summary_gpt4o_3_1,1858,38.98293359383999
summary_gpt4o_62_1,summary_gpt4o_69_1,1858,376.734017893017
summary_gpt4o_62_1,summary_gpt4o_18_1,1858,161.61051508856002
summary_gpt4o_62_1,summary_gpt4o_75_1,1858,448.4808755787829
summary_gpt4o_62_1,summary_gpt4o_186_1,1858,443.005153576144
summary_gpt4o_62_1,summary_gpt4o_8_1,1858,117.06092766988
summary_gpt4o_62_1,summary_gpt4o_83_1,1858,535.407651662243
summary_gpt4o_62_1,summary_gpt4o_54_1,1858,425.713980981976
summary_gpt4o_62_1,summary_gpt4o_13_1,1858,143.93071869865997
summary_gpt4o_62_1,summary_gpt4o_170_1,1858,383.23738165241895
summary_gpt4o_62_1,summary_gpt4o_140_1,1858,426.041451567995
summary_gpt4o_62_1,summary_gpt4o_23_1,1858,235.12702009843403
summary_gpt4o_62_1,summary_gpt4o_66_1,1858,398.73113725486996
summary_gpt4o_62_1,summary_gpt4o_42_1,1858,322.67866066325206
summary_gpt4o_62_1,summary_gpt4o_33_1,1858,304.934958259232
summary_gpt4o_140_1,summary_gpt4o_100_1,2305,568.6509381236201
summary_gpt4o_140_1,summary_gpt4o_28_1,2305,253.995600297346
summary_gpt4o_140_1,summary_gpt4o_180_1,2305,502.7999994708159
summary_gpt4o_140_1,summary_gpt4o_73_1,2305,428.77381824432
summary_gpt4o_140_1,summary_gpt4o_38_1,2305,318.45801221215504
summary_gpt4o_140_1,summary_gpt4o_49_1,2305,380.62004392238606
summary_gpt4o_140_1,summary_gpt4o_3_1,2305,26.288160146479974
summary_gpt4o_140_1,summary_gpt4o_69_1,2305,444.0511347227103
summary_gpt4o_140_1,summary_gpt4o_18_1,2305,144.70778414885697
summary_gpt4o_140_1,summary_gpt4o_75_1,2305,483.2565519166269
summary_gpt4o_140_1,summary_gpt4o_186_1,2305,475.34827528442145
summary_gpt4o_140_1,summary_gpt4o_8_1,2305,99.86692674908996
summary_gpt4o_140_1,summary_gpt4o_83_1,2305,580.4893131418128
summary_gpt4o_140_1,summary_gpt4o_54_1,2305,477.27250331146496
summary_gpt4o_140_1,summary_gpt4o_13_1,2305,145.36662544069998
summary_gpt4o_140_1,summary_gpt4o_170_1,2305,408.555900773289
summary_gpt4o_140_1,summary_gpt4o_62_1,2305,374.76388842713004
summary_gpt4o_140_1,summary_gpt4o_23_1,2305,262.811659000139
summary_gpt4o_140_1,summary_gpt4o_66_1,2305,427.0281039734239
summary_gpt4o_140_1,summary_gpt4o_42_1,2305,375.07173242434
summary_gpt4o_140_1,summary_gpt4o_33_1,2305,274.658878584695
summary_gpt4o_23_1,summary_gpt4o_100_1,975,299.84234880997
summary_gpt4o_23_1,summary_gpt4o_28_1,975,235.29475771623999
